dataset,tag,seed,run,accuracy,balanced_accuracy,macro_f1,auroc,auprc,loss,val_macro_f1,best_round,last_round,n_test
isic2018,fedavg_a0.5_K10_E2,42,isic2018_fedavg_a0.5_K10_E2_s42,0.7738095238095238,0.5927985302859377,0.6142073650140204,0.940164471513272,0.7237062327397903,0.6557123064994812,0.6871068290366485,35,50,1512
isic2018,fedavg_a0.5_K10_E2,43,isic2018_fedavg_a0.5_K10_E2_s43,0.783068783068783,0.6194740073142061,0.6635936346841527,0.9464711432574819,0.7547513838111838,0.6067270040512085,0.6648437977736467,47,50,1512
isic2018,fedavg_a0.5_K10_E2,44,isic2018_fedavg_a0.5_K10_E2_s44,0.7612433862433863,0.646555768952715,0.6549976559405908,0.9441323177834547,0.7577496326654686,0.6793620586395264,0.6726068137896483,20,50,1512
isic2018,fedavg_a0.5_K10_E5,42,isic2018_fedavg_a0.5_K10_E5_s42,0.7513227513227513,0.5457023441757547,0.6082096370983333,0.9413519859733255,0.733398820645978,0.7161703705787659,0.5566756205660979,15,50,1512
isic2018,fedavg_a0.5_K10_E5,43,isic2018_fedavg_a0.5_K10_E5_s43,0.794973544973545,0.6108103628908558,0.6680406433158705,0.939925450014781,0.7471320248227645,0.674515426158905,0.6357780612244898,44,50,1512
isic2018,fedavg_a0.5_K10_E5,44,isic2018_fedavg_a0.5_K10_E5_s44,0.7579365079365079,0.6418102231504624,0.6180996695931169,0.9452757597555866,0.7425923550715325,0.6811555624008179,0.6308094156195422,8,50,1512
isic2018,fedavg_a0.5_K20_E2,42,isic2018_fedavg_a0.5_K20_E2_s42,0.8095238095238095,0.7135292047652853,0.7196526569421551,0.9497925848401911,0.7866052703600509,0.5789200067520142,0.7511195743186667,49,50,1512
isic2018,fedavg_a0.5_K20_E2,43,isic2018_fedavg_a0.5_K20_E2_s43,0.7896825396825397,0.669439840344537,0.6803490914994647,0.9471298635903344,0.7654243310080048,0.6050472855567932,0.7600606793239945,28,50,1512
isic2018,fedavg_a0.5_K20_E2,44,isic2018_fedavg_a0.5_K20_E2_s44,0.7870370370370371,0.654684632008115,0.6845325066446344,0.9514760312619227,0.7753677658171103,0.5781334042549133,0.6824805135673413,34,50,1512
isic2018,fedavg_a0.5_K5_E2,42,isic2018_fedavg_a0.5_K5_E2_s42,0.7638888888888888,0.7079958855055721,0.6775297046793513,0.9564711255272639,0.7902291866803592,0.6298698782920837,0.7114605775240037,14,50,1512
isic2018,fedavg_a0.5_K5_E2,43,isic2018_fedavg_a0.5_K5_E2_s43,0.7757936507936508,0.6278716974316804,0.6549473883600857,0.947934379092286,0.7450645054542224,0.6538035869598389,0.7504938193462785,12,50,1512
isic2018,fedavg_a0.5_K5_E2,44,isic2018_fedavg_a0.5_K5_E2_s44,0.8115079365079365,0.6802394562236704,0.7033737500155256,0.958469647303651,0.8008465828880392,0.5477699637413025,0.779337564253544,43,50,1512
isic2018,fedavg_a100_K10_E2,42,isic2018_fedavg_a100_K10_E2_s42,0.8121693121693122,0.7375310364416645,0.7452318923937032,0.9609924916371063,0.8198950651704566,0.5327529311180115,0.769758206312828,32,50,1512
isic2018,fedavg_a100_K10_E2,43,isic2018_fedavg_a100_K10_E2_s43,0.8048941798941799,0.7419245850136756,0.7403059535005042,0.9643389763383748,0.8381424372231155,0.5363710522651672,0.7885980234139212,20,50,1512
isic2018,fedavg_a100_K10_E2,44,isic2018_fedavg_a100_K10_E2_s44,0.8009259259259259,0.7413006643812735,0.738438341835164,0.9634274058343646,0.838195645880175,0.5172833204269409,0.7895582016549759,38,50,1512
isic2018,fedavg_a1_K10_E2,42,isic2018_fedavg_a1_K10_E2_s42,0.7976190476190477,0.7045831149745891,0.7067892749303939,0.9587926074537324,0.7984127205313961,0.542113721370697,0.8090511159038376,47,50,1512
isic2018,fedavg_a1_K10_E2,43,isic2018_fedavg_a1_K10_E2_s43,0.7956349206349206,0.6458716969936108,0.6842982979458723,0.9561086812120413,0.7829734501447049,0.5939472317695618,0.661841137466099,23,50,1512
isic2018,fedavg_a1_K10_E2,44,isic2018_fedavg_a1_K10_E2_s44,0.7784391534391535,0.6614252335796882,0.6575317559224603,0.9521947048089281,0.7879563441801184,0.6143549084663391,0.6531581828133552,12,50,1512
isic2018,fedprox_a0.5_K10_E2_mu0.001,42,isic2018_fedprox_a0.5_K10_E2_mu0.001_s42,0.7764550264550265,0.6018956789585034,0.6213723920940419,0.9408471673833771,0.7260954908983303,0.6501279473304749,0.6766011213772408,35,50,1512
isic2018,fedprox_a0.5_K10_E2_mu0.001,43,isic2018_fedprox_a0.5_K10_E2_mu0.001_s43,0.7870370370370371,0.6255189302639349,0.6676930175023194,0.9456391903124376,0.7581294681523002,0.6069267988204956,0.6618132865566125,47,50,1512
isic2018,fedprox_a0.5_K10_E2_mu0.001,44,isic2018_fedprox_a0.5_K10_E2_mu0.001_s44,0.8035714285714286,0.6381503338851745,0.6805572554537663,0.9474463826685665,0.7829920871634984,0.6144359707832336,0.595056556346879,43,50,1512
isic2018,fedprox_a0.5_K10_E2_mu0.01,42,isic2018_fedprox_a0.5_K10_E2_mu0.01_s42,0.7764550264550265,0.611323074003888,0.6286765679968722,0.9420355083617299,0.7353126244123797,0.6506853103637695,0.6716043416903726,35,50,1512
isic2018,fedprox_a0.5_K10_E2_mu0.1,42,isic2018_fedprox_a0.5_K10_E2_mu0.1_s42,0.783068783068783,0.6372850950393748,0.6526978627286473,0.942638311268427,0.7363195062825707,0.6274996399879456,0.6344046344422897,46,50,1512
isic2019,centralized,42,isic2019_centralized_s42,0.7419100236779794,0.5632626008232423,0.5641685093140076,0.9201902139337459,0.576300957881952,0.9152265787124634,0.6159814823689933,29,50,2534
isic2019,centralized,43,isic2019_centralized_s43,0.7371744277821626,0.5714580286472284,0.5663986815842256,0.923228457836194,0.5871788225148283,0.8646226525306702,0.6174247013377343,20,50,2534
isic2019,centralized,44,isic2019_centralized_s44,0.7241515390686661,0.5659553889844781,0.5346585057553159,0.907166058314812,0.5523818569455786,0.8807219862937927,0.6097160954396899,13,50,2534
